"sf__Id","sf__Created","Id","IsActive","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c"
"0jiVY00000001LWYAY","false","0jiVY00000001LWYAY","false","false","false","false","false","false"
"0jiVY00000001qcYAA","false","0jiVY00000001qcYAA","false","false","false","false","false","false"
"0jiVY00000001gCYAQ","false","0jiVY00000001gCYAQ","false","false","false","false","false","false"
"0jiVY00000002BJYAY","false","0jiVY00000002BJYAY","false","false","false","false","false","false"
"0jiVY00000002jeYAA","false","0jiVY00000002jeYAA","false","false","false","false","false","false"
"0jiVY00000002LcYAI","false","0jiVY00000002LcYAI","false","false","false","false","false","false"
"0jiVY000000020vYAA","false","0jiVY000000020vYAA","false","false","false","false","false","false"
"0jiVY00000001LXYAY","false","0jiVY00000001LXYAY","false","false","false","false","false","false"
"0jiVY00000001qdYAA","false","0jiVY00000001qdYAA","false","false","false","false","false","false"
"0jiVY00000001gDYAQ","false","0jiVY00000001gDYAQ","false","false","false","false","false","false"
"0jiVY00000002BKYAY","false","0jiVY00000002BKYAY","false","false","false","false","false","false"
"0jiVY00000002jUYAQ","false","0jiVY00000002jUYAQ","false","false","false","false","false","false"
"0jiVY00000002LdYAI","false","0jiVY00000002LdYAI","false","false","false","false","false","false"
"0jiVY000000020wYAA","false","0jiVY000000020wYAA","false","false","false","false","false","false"
"0jiVY00000001LYYAY","false","0jiVY00000001LYYAY","false","false","false","false","false","false"
"0jiVY00000001qeYAA","false","0jiVY00000001qeYAA","false","false","false","false","false","false"
"0jiVY00000001gEYAQ","false","0jiVY00000001gEYAQ","false","false","false","false","false","false"
"0jiVY00000002BLYAY","false","0jiVY00000002BLYAY","false","false","false","false","false","false"
"0jiVY00000002LeYAI","false","0jiVY00000002LeYAI","false","false","false","false","false","false"
"0jiVY000000020xYAA","false","0jiVY000000020xYAA","false","false","false","false","false","false"
"0jiVY00000001LZYAY","false","0jiVY00000001LZYAY","false","false","false","false","false","false"
"0jiVY00000001qfYAA","false","0jiVY00000001qfYAA","false","false","false","false","false","false"
"0jiVY00000001gFYAQ","false","0jiVY00000001gFYAQ","false","false","false","false","false","false"
"0jiVY00000002BMYAY","false","0jiVY00000002BMYAY","false","false","false","false","false","false"
"0jiVY00000002jRYAQ","false","0jiVY00000002jRYAQ","false","false","false","false","false","false"
"0jiVY00000002LfYAI","false","0jiVY00000002LfYAI","false","false","false","false","false","false"
"0jiVY000000020yYAA","false","0jiVY000000020yYAA","false","false","false","false","false","false"
"0jiVY00000001LaYAI","false","0jiVY00000001LaYAI","false","false","false","false","false","false"
"0jiVY00000001qgYAA","false","0jiVY00000001qgYAA","false","false","false","false","false","false"
"0jiVY00000001gGYAQ","false","0jiVY00000001gGYAQ","false","false","false","false","false","false"
"0jiVY00000002BNYAY","false","0jiVY00000002BNYAY","false","false","false","false","false","false"
"0jiVY00000001VsYAI","false","0jiVY00000001VsYAI","false","false","false","false","false","false"
"0jiVY00000002LgYAI","false","0jiVY00000002LgYAI","false","false","false","false","false","false"
"0jiVY000000020zYAA","false","0jiVY000000020zYAA","false","false","false","false","false","false"
"0jiVY00000001LbYAI","false","0jiVY00000001LbYAI","false","false","false","false","false","false"
"0jiVY00000001qhYAA","false","0jiVY00000001qhYAA","false","false","false","false","false","false"
"0jiVY00000001gHYAQ","false","0jiVY00000001gHYAQ","false","false","false","false","false","false"
"0jiVY00000002BOYAY","false","0jiVY00000002BOYAY","false","false","false","false","false","false"
"0jiVY00000002jcYAA","false","0jiVY00000002jcYAA","false","false","false","false","false","false"
"0jiVY00000002LhYAI","false","0jiVY00000002LhYAI","false","false","false","false","false","false"
"0jiVY0000000210YAA","false","0jiVY0000000210YAA","false","false","false","false","false","false"
"0jiVY00000001LcYAI","false","0jiVY00000001LcYAI","false","false","false","false","false","false"
"0jiVY00000001qiYAA","false","0jiVY00000001qiYAA","false","false","false","false","false","false"
"0jiVY00000001gIYAQ","false","0jiVY00000001gIYAQ","false","false","false","false","false","false"
"0jiVY00000002BPYAY","false","0jiVY00000002BPYAY","false","false","false","false","false","false"
"0jiVY00000002LiYAI","false","0jiVY00000002LiYAI","false","false","false","false","false","false"
"0jiVY0000000211YAA","false","0jiVY0000000211YAA","false","false","false","false","false","false"
"0jiVY00000001LdYAI","false","0jiVY00000001LdYAI","false","false","false","false","false","false"
"0jiVY00000001qjYAA","false","0jiVY00000001qjYAA","false","false","false","false","false","false"
"0jiVY00000001gJYAQ","false","0jiVY00000001gJYAQ","false","false","false","false","false","false"
"0jiVY00000002BQYAY","false","0jiVY00000002BQYAY","false","false","false","false","false","false"
"0jiVY00000002k1YAA","false","0jiVY00000002k1YAA","false","false","false","false","false","false"
"0jiVY00000002LjYAI","false","0jiVY00000002LjYAI","false","false","false","false","false","false"
"0jiVY0000000212YAA","false","0jiVY0000000212YAA","false","false","false","false","false","false"
"0jiVY00000001LeYAI","false","0jiVY00000001LeYAI","false","false","false","false","false","false"
"0jiVY00000001qkYAA","false","0jiVY00000001qkYAA","false","false","false","false","false","false"
"0jiVY00000001gKYAQ","false","0jiVY00000001gKYAQ","false","false","false","false","false","false"
"0jiVY00000002BRYAY","false","0jiVY00000002BRYAY","false","false","false","false","false","false"
"0jiVY00000002LkYAI","false","0jiVY00000002LkYAI","false","false","false","false","false","false"
"0jiVY0000000213YAA","false","0jiVY0000000213YAA","false","false","false","false","false","false"
"0jiVY00000001LfYAI","false","0jiVY00000001LfYAI","false","false","false","false","false","false"
