"sf__Id","sf__Error","Id","Status"
"1pgVY000000005OYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005OYAQ","Cancelled"
"1pgVY000000005PYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005PYAQ","Cancelled"
"1pgVY000000005QYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005QYAQ","Cancelled"
"1pgVY000000005RYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005RYAQ","Cancelled"
"1pgVY000000005SYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005SYAQ","Cancelled"
"1pgVY000000005TYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005TYAQ","Cancelled"
"1pgVY000000005UYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005UYAQ","Cancelled"
"1pgVY000000005VYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005VYAQ","Cancelled"
"1pgVY000000005WYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005WYAQ","Cancelled"
"1pgVY000000005XYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005XYAQ","Cancelled"
"1pgVY000000005YYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005YYAQ","Cancelled"
"1pgVY000000005ZYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005ZYAQ","Cancelled"
"1pgVY000000005aYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005aYAA","Cancelled"
"1pgVY000000005bYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005bYAA","Cancelled"
"1pgVY000000005cYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005cYAA","Cancelled"
"1pgVY000000005dYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005dYAA","Cancelled"
"1pgVY000000005eYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005eYAA","Cancelled"
